Class Index,Class Name,Label,IoU,TP (%),FP (%),FN (%)
0,Unmarked (background),0 - Unmarked (background),0.9618,96.18,1.57,2.25
1,Building,1 - Building,0.9469,94.69,2.69,2.62
2,Fence,2 - Fence,0.6186,61.86,13.16,24.98
3,Other,3 - Other,0.7468,74.68,10.97,14.35
4,Pedestrian,4 - Pedestrian,0.4195,41.95,8.43,49.62
5,Post,5 - Post,0.6583,65.83,9.6,24.56
6,Road markings,6 - Road markings,0.8758,87.58,6.89,5.53
7,Road,7 - Road,0.9874,98.74,0.49,0.77
8,Sidewalk,8 - Sidewalk,0.9496,94.96,2.78,2.26
9,Vegetation,9 - Vegetation,0.8803,88.03,7.65,4.32
10,Car,10 - Car,0.9893,98.93,0.67,0.4
11,Wall,11 - Wall,0.8385,83.85,8.19,7.97
12,Road sign,12 - Road sign,0.6546,65.46,15.61,18.94
