Class Index,Class Name,Label,IoU,TP (%),FP (%),FN (%)
0,Unmarked (background),0 - Unmarked (background),0.9628,96.28,1.63,2.09
1,Building,1 - Building,0.9478,94.78,2.83,2.39
2,Fence,2 - Fence,0.6498,64.98,11.86,23.16
3,Other,3 - Other,0.7537,75.37,11.44,13.19
4,Pedestrian,4 - Pedestrian,0.4462,44.62,15.12,40.26
5,Post,5 - Post,0.6344,63.44,14.23,22.32
6,Road markings,6 - Road markings,0.9035,90.35,4.78,4.88
7,Road,7 - Road,0.9896,98.96,0.53,0.51
8,Sidewalk,8 - Sidewalk,0.9516,95.16,2.61,2.22
9,Vegetation,9 - Vegetation,0.884,88.4,6.9,4.7
10,Car,10 - Car,0.99,99.0,0.49,0.5
11,Wall,11 - Wall,0.8432,84.32,7.92,7.75
12,Road sign,12 - Road sign,0.7088,70.88,9.24,19.88
