Class Index,Class Name,Label,IoU,TP (%),FP (%),FN (%)
0,Unmarked (background),0 - Unmarked (background),0.9631,96.31,1.58,2.11
1,Building,1 - Building,0.9487,94.87,2.8,2.33
2,Fence,2 - Fence,0.6598,65.98,11.55,22.46
3,Other,3 - Other,0.7557,75.57,11.22,13.21
4,Pedestrian,4 - Pedestrian,0.4379,43.79,11.72,44.49
5,Post,5 - Post,0.6395,63.95,13.67,22.39
6,Road markings,6 - Road markings,0.9148,91.48,4.18,4.35
7,Road,7 - Road,0.9904,99.04,0.49,0.47
8,Sidewalk,8 - Sidewalk,0.9527,95.27,2.55,2.18
9,Vegetation,9 - Vegetation,0.8849,88.49,6.94,4.57
10,Car,10 - Car,0.9904,99.04,0.49,0.47
11,Wall,11 - Wall,0.8509,85.09,7.43,7.48
12,Road sign,12 - Road sign,0.7192,71.92,8.78,19.31
