Class Index,Class Name,Label,IoU,TP (%),FP (%),FN (%)
0,Unmarked (background),0 - Unmarked (background),0.963,96.3,1.6,2.1
1,Building,1 - Building,0.947,94.7,2.84,2.45
2,Fence,2 - Fence,0.6527,65.27,11.02,23.71
3,Other,3 - Other,0.7477,74.77,11.69,13.55
4,Pedestrian,4 - Pedestrian,0.1642,16.42,4.59,78.98
5,Post,5 - Post,0.6376,63.76,13.94,22.31
6,Road markings,6 - Road markings,0.9096,90.96,4.31,4.73
7,Road,7 - Road,0.9898,98.98,0.54,0.48
8,Sidewalk,8 - Sidewalk,0.952,95.2,2.63,2.17
9,Vegetation,9 - Vegetation,0.8843,88.43,7.0,4.57
10,Car,10 - Car,0.9902,99.02,0.49,0.49
11,Wall,11 - Wall,0.841,84.1,8.12,7.78
12,Road sign,12 - Road sign,0.7033,70.33,9.31,20.36
